==============================================================================
M3 — THE TOPOLOGY CURVES
==============================================================================

★ PER ARM — the whole run in one row

arm             it  b0 first  b0 last  b0 max  NEW tot  SPLIT tot  viol  revert  chi last  b1 last  cav
-------------------------------------------------------------------------------------------------------
MN_nucleating   60        87       41     518      263       -309    52       0       -89      135    5
MA_holes8       60        87       11     522      152        -72    52       0       -96      109    2
MC_stress       60         8        4       8      256         -2    57       0        -3        7    0
MB_gyr12        60        15       10     166       91        -10    45       0       -37       47    0
MB_gyr20        60        15        6      40       71          6    43       0       -15       21    0
MA_poor12       60       490        9     490      130       -479    53       0       -83       93    1
MA_rich6        60      1268       14    1268      207      -1235    47       0       -40       56    2
MA_phase        60        95       15     525      179        -72    53       0      -110      127    2

★ b0 = void components. NEW = components sharing no voxel with any
  previous void. SPLIT = the rest of the change in b0, i.e. existing void
  fragmenting as solid bridges across it. b1 = tunnels = b0 + b2 - chi.

==============================================================================
MN_nucleating — per iteration
==============================================================================
 it     b0  d(b0)   NEW  SPLIT     chi     b1  cav  viol  rev    compliance
 60      6     +1     0      1     -15     21    0    43    0  0.0025409577

==============================================================================
MA_poor12 — per iteration
==============================================================================
 it     b0  d(b0)   NEW  SPLIT     chi     b1  cav  viol  rev    compliance
  1    490            0      0   -1444   1940    6     0    0  0.0044351547
  2    414    -76     1    -77   -1120   1540    6     1    0  0.0041271597
  3    246   -168     8   -168    -414    666    6     2    0  0.0038244320
  4    229    -17     2    -19    -688    923    6     3    0  0.0035950884
  5    210    -19     1    -19    -968   1184    6     4    0  0.0034631896
  6    203     -7     2     -7    -245    454    6     5    0  0.0032726196
  7    201     -2     2     -1      17    190    6     6    0  0.0032292393
  8    198     -3     0     -3      13    191    6     6    0  0.0031323601
  9    187    -11     1    -11      48    146    7     7    0  0.0030463167
 10    151    -36     2    -32     208    -49    8     8    0  0.0029653046
 11    145     -6     0     -6     184    -31    8     8    0  0.0028781323
 12    145     +0     1      0       8    145    8     9    0  0.0028220307
 13    140     -5     0     -5      -9    157    8     9    0  0.0027683304
 14    136     -4     2     -4     -29    173    8    10    0  0.0027444150
 15    128     -8     1     -8     -31    167    8    11    0  0.0027096572
 16    107    -21     1    -21     -28    145   10    12    0  0.0026788124
 17    100     -7     2     -7     -41    151   10    13    0  0.0026519610
 18    102     +2     2      1     -37    149   10    14    0  0.0026322655
 19    102     +0     5      0     -41    153   10    15    0  0.0026115442
 20     98     -4     1     -4     -52    161   11    16    0  0.0025963754
 21     95     -3     0     -3     -39    146   12    16    0  0.0025868057
 22     97     +2     3      1     -39    149   13    17    0  0.0025745355
 23     94     -3     2     -3     -49    156   13    18    0  0.0025666852
 24     86     -8     1     -9     -53    153   14    19    0  0.0025621445
 25     79     -7     2     -7     -57    153   17    20    0  0.0025559838
 26     44    -35     3    -35     -81    128    3    21    0  0.0025495197
 27     33    -11     3    -11     -97    132    2    22    0  0.0025464528
 28     29     -4     1     -4     -91    121    1    23    0  0.0025440925
 29     29     +0     1      0    -104    134    1    24    0  0.0025415773
 30     24     -5     1     -5     -92    117    1    25    0  0.0025395673
 31     19     -5     4     -5    -107    128    2    26    0  0.0025396597
 32     17     -2     3     -2    -106    125    2    27    0  0.0025382781
 33     17     +0     2      1    -107    125    1    28    0  0.0025376127
 34     13     -4     4     -3     -90    103    0    29    0  0.0025365199
 35     15     +2     1      2     -99    114    0    30    0  0.0025360457
 36     15     +0     3      0     -85    100    0    31    0  0.0025362116
 37     16     +1     2      1     -93    109    0    32    0  0.0025347896
 38     15     -1     4     -1     -82     97    0    33    0  0.0025344770
 39     15     +0     1      1     -95    110    0    34    0  0.0025344072
 40     16     +1     4      1     -74     90    0    35    0  0.0025326551
 41     15     -1     2     -1     -90    105    0    36    0  0.0025340299
 42     14     -1     3     -1     -82     96    0    37    0  0.0025332973
 43     16     +2     0      2     -89    105    0    37    0  0.0025323190
 44     13     -3     3     -1     -72     85    0    38    0  0.0025312566
 45     17     +4     2      3     -90    107    0    39    0  0.0025310359
 46     16     -1     3     -4     -76     94    2    40    0  0.0025315687
 47     16     +0     3      0     -89    107    2    41    0  0.0025310040
 48     12     -4     6     -2     -83     95    0    42    0  0.0025304914
 49     14     +2     5      2     -95    109    0    43    0  0.0025297589
 50     11     -3     3     -3     -81     92    0    44    0  0.0025292208
 51     12     +1     2      1     -97    110    1    45    0  0.0025302419
 52     12     +0     3      0     -82     95    1    46    0  0.0025298588
 53     12     +0     4      0    -100    112    0    47    0  0.0025293184
 54      9     -3     1     -3     -83     92    0    48    0  0.0025287975
 55     11     +2     0      2    -102    113    0    48    0  0.0025279174
 56      9     -2     2     -2     -88     97    0    49    0  0.0025290371
